id,key,db_path,db_name,label_zh,group,mode,source_category,status,note
item_2023158576,2023158576,Items.2023158576,Items.2023158576,技能点奖励 +1,skill,both,SkillPointReward,IMPLEMENTED_UNVERIFIED,
item_1329478279,1329478279,Items.1329478279,Items.1329478279,Cash_100k,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_303771026,303771026,Items.303771026,Items.303771026,Cash_10k,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1831495566,1831495566,Items.1831495566,Items.1831495566,Cash_25k,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_353535310,353535310,Items.353535310,Items.353535310,Cash_50k,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_997982060,997982060,Items.997982060,Items.997982060,Cash_5k,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1809950053,1809950053,Items.1809950053,Items.1809950053,Cash_75k,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2496339441,2496339441,Items.2496339441,Items.2496339441,Code_Comp_3,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2608161459,2608161459,Items.2608161459,Items.2608161459,Drug_Comp_3,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3441694538,3441694538,Items.3441694538,Items.3441694538,Exp_Comp_3,xp,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_4155199944,4155199944,Items.4155199944,Items.4155199944,经验奖励 +1000,xp,both,ProgressionBonus,IMPLEMENTED_UNVERIFIED,
item_3844013606,3844013606,Items.3844013606,Items.3844013606,经验奖励 +2000,xp,both,ProgressionBonus,IMPLEMENTED_UNVERIFIED,
item_3244641630,3244641630,Items.3244641630,Items.3244641630,经验奖励 +500,xp,both,ProgressionBonus,IMPLEMENTED_UNVERIFIED,
item_2026489503,2026489503,Items.2026489503,Items.2026489503,经验奖励 +5000,xp,both,ProgressionBonus,IMPLEMENTED_UNVERIFIED,
item_3566817738,3566817738,Items.3566817738,Items.3566817738,MainMissions,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3485618524,3485618524,Items.3485618524,Items.3485618524,MainMissions.Act_01,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1432493591,1432493591,Items.1432493591,Items.1432493591,MainMissions.Act_01.Ignore01,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1652375998,1652375998,Items.1652375998,Items.1652375998,MainMissions.Act_01.Ignore01.A01_M02,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3154230050,3154230050,Items.3154230050,Items.3154230050,MainMissions.Act_01.Ignore02,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_291977268,291977268,Items.291977268,Items.291977268,MainMissions.Act_01.Ignore02.A01_M04,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3406203828,3406203828,Items.3406203828,Items.3406203828,MainMissions.Act_01.Ignore03,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_102509687,102509687,Items.102509687,Items.102509687,MainMissions.Act_01.Ignore03.A01_M05,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3580919532,3580919532,Items.3580919532,Items.3580919532,MainMissions.Act_01.Ignore04,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3023181381,3023181381,Items.3023181381,Items.3023181381,MainMissions.Act_01.Ignore04.A01_M11,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3429584813,3429584813,Items.3429584813,Items.3429584813,MainMissions.Act_01.Mission_01,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1542487419,1542487419,Items.1542487419,Items.1542487419,MainMissions.Act_01.Mission_01.A01_M01,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_577056385,577056385,Items.577056385,Items.577056385,MainMissions.Act_01.Mission_03,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1963349501,1963349501,Items.1963349501,Items.1963349501,MainMissions.Act_01.Mission_03.A01_M03,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1376770574,1376770574,Items.1376770574,Items.1376770574,MainMissions.Act_01.Mission_06,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1066471602,1066471602,Items.1066471602,Items.1066471602,MainMissions.Act_01.Mission_06.A01_M06,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_621341336,621341336,Items.621341336,Items.621341336,MainMissions.Act_01.Mission_07,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_686425329,686425329,Items.686425329,Items.686425329,MainMissions.Act_01.Mission_07.A01_M07,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3048732425,3048732425,Items.3048732425,Items.3048732425,MainMissions.Act_01.Mission_08,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_4149463840,4149463840,Items.4149463840,Items.4149463840,MainMissions.Act_01.Mission_08.A01_M08,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3266365343,3266365343,Items.3266365343,Items.3266365343,MainMissions.Act_01.Mission_09,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3760775011,3760775011,Items.3760775011,Items.3760775011,MainMissions.Act_01.Mission_09.A01_M09,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2725727866,2725727866,Items.2725727866,Items.2725727866,MainMissions.Act_01.Mission_10,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2739470854,2739470854,Items.2739470854,Items.2739470854,MainMissions.Act_01.Mission_10.A01_M10,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1672352234,1672352234,Items.1672352234,Items.1672352234,MainMissions.Act_01.Mission_Drive,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3088098085,3088098085,Items.3088098085,Items.3088098085,MainMissions.Act_01.Mission_Drive.A01_D00,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1456144614,1456144614,Items.1456144614,Items.1456144614,MainMissions.Act_02,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3153435997,3153435997,Items.3153435997,Items.3153435997,MainMissions.Act_02.Ignore04,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_4099485873,4099485873,Items.4099485873,Items.4099485873,MainMissions.Act_02.Ignore04.A02_M01,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2733550620,2733550620,Items.2733550620,Items.2733550620,MainMissions.Act_02.Ignore05,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_41970382,41970382,Items.41970382,Items.41970382,MainMissions.Act_02.Ignore05.A02_M11,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_586992871,586992871,Items.586992871,Items.586992871,MainMissions.Act_02.Mission_02,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1423793614,1423793614,Items.1423793614,Items.1423793614,MainMissions.Act_02.Mission_02.A02_M02,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1442577521,1442577521,Items.1442577521,Items.1442577521,MainMissions.Act_02.Mission_03,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_882997531,882997531,Items.882997531,Items.882997531,MainMissions.Act_02.Mission_03.A02_M03,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3416222162,3416222162,Items.3416222162,Items.3416222162,MainMissions.Act_02.Mission_04,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3466887537,3466887537,Items.3466887537,Items.3466887537,MainMissions.Act_02.Mission_04.A02_M04,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3164100932,3164100932,Items.3164100932,Items.3164100932,MainMissions.Act_02.Mission_05,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2933433764,2933433764,Items.2933433764,Items.2933433764,MainMissions.Act_02.Mission_05.A02_M05,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_630262014,630262014,Items.630262014,Items.630262014,MainMissions.Act_02.Mission_06,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_240961755,240961755,Items.240961755,Items.240961755,MainMissions.Act_02.Mission_06.A02_M06,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1385576552,1385576552,Items.1385576552,Items.1385576552,MainMissions.Act_02.Mission_07,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1847651342,1847651342,Items.1847651342,Items.1847651342,MainMissions.Act_02.Mission_07.A02_M07,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3257476601,3257476601,Items.3257476601,Items.3257476601,MainMissions.Act_02.Mission_08a,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_556154446,556154446,Items.556154446,Items.556154446,MainMissions.Act_02.Mission_08a.A02_M08a,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3256532210,3256532210,Items.3256532210,Items.3256532210,MainMissions.Act_02.Mission_08c,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2230478068,2230478068,Items.2230478068,Items.2230478068,MainMissions.Act_02.Mission_08c.A02_M08c,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_729356743,729356743,Items.729356743,Items.729356743,MainMissions.Act_02.Mission_08e,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_4159184254,4159184254,Items.4159184254,Items.4159184254,MainMissions.Act_02.Mission_08e.A02_M08e,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3039696239,3039696239,Items.3039696239,Items.3039696239,MainMissions.Act_02.Mission_09a,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1096424091,1096424091,Items.1096424091,Items.1096424091,MainMissions.Act_02.Mission_09a.A02_M09a,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2886122789,2886122789,Items.2886122789,Items.2886122789,MainMissions.Act_02.Mission_09b,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_189541151,189541151,Items.189541151,Items.189541151,MainMissions.Act_02.Mission_09b.A02_M09b,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3674312115,3674312115,Items.3674312115,Items.3674312115,MainMissions.Act_02.Mission_09c,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_473382748,473382748,Items.473382748,Items.473382748,MainMissions.Act_02.Mission_09c.A02_M09c,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_3588856970,3588856970,Items.3588856970,Items.3588856970,MainMissions.Act_02.Mission_10,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1660702235,1660702235,Items.1660702235,Items.1660702235,MainMissions.Act_02.Mission_10.A02_M10,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1289801008,1289801008,Items.1289801008,Items.1289801008,MainMissions.Act_02.Mission_13,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1809201304,1809201304,Items.1809201304,Items.1809201304,MainMissions.Act_02.Mission_13.A02_M13,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_567029872,567029872,Items.567029872,Items.567029872,MainMissions.Act_03,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_780884224,780884224,Items.780884224,Items.780884224,MainMissions.Act_03.Ignore06,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_607986141,607986141,Items.607986141,Items.607986141,MainMissions.Act_03.Ignore06.A03_M09,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_961273971,961273971,Items.961273971,Items.961273971,MainMissions.Act_03.Ignore07,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_1743212936,1743212936,Items.1743212936,Items.1743212936,MainMissions.Act_03.Ignore07.A03_M11,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
item_2688725449,2688725449,Items.2688725449,Items.2688725449,MainMissions.Act_03.Ignore08,mission_xp_main,both,TrainerItemDB,REWARD_ITEM_CANDIDATE,single-player AddItem path; persistence unverified
