hash,magic,comp,exported
009476a0,Lua,281446,True
00c21ba3,nbCF,2372,True
013da580,nbCF,1532,True
019d2281,nbCF,4062,True
02d7de3a,SL,3040,True
049f426d,nbCF,3325,True
04dcd9af,nbCF,1118,True
07092f10,nbCF,4576,True
071eaec6,MOEG,37636,True
07cc7ecd,nbCF,36654,True
09aebe3a,nbCF,137569,True
0a403e3e,SL,3104,True
0b71d3d6,nbCF,1038,True
0ca59de1,SL,3072,True
0d9a67b6,nbCF,2376,True
0f4e6156,nbCF,2038,True
102e297b,nbCF,1871,True
11dabf13,nbCF,22447,True
12e61d9f,nbCF,16335,True
14b67187,Lua,17754,True
14f274a9,nbCF,10013,True
15a727dd,nbCF,4804,True
15c6ab7f,nbCF,3201,True
16602e15,nbCF,10281,True
1660e00e,Lua,3157583,True
18add193,nbCF,2900,True
191b76ca,Lua,760414,True
19b4d1ae,,13404,True
1ae3f610,nbCF,1453,True
1b5fe622,nbCF,1294,True
1c90d1fe,nbCF,5961,True
1cf503fe,nbCF,104086,True
1dd6bcfa,UEF,121841,True
1de1004c,nbCF,14393,True
1e1050a9,nbCF,6803,True
1e25ae85,SL,3544,True
1e68c685,nbCF,19579,True
1eae2ef3,nbCF,762,True
1f07ec83,2,17041661,False
1f09f135,nbCF,87679,False
1f42a88d,MOEG,53912,False
201d2cf2,nbCF,13278,False
214ad027,nbCF,1171857,False
215883f0,nbCF,1062,False
21fad4e6,nbCF,564,False
223d441d,nbCF,8157,False
23d97de4,nbCF,1114,False
251f5a09,nbCF,2405339,False
2601b4a0,nbCF,74134,False
2672724b,???<,295500,False
285d1e3c,nbCF,12399,False
295f376d,nbCF,8316,False
2bcc2381,nbCF,37727,False
2c5884e4,SL,3128,False
2c70b67d,nbCF,34711,False
2de24d63,nbCF,1162,False
2dfc8b4d,nbCF,1786,False
2e19a673,nbCF,4456,False
2e1c4b67,nbCF,1128,False
2e81bebf,Lua,14120,False
2e99f39c,nbCF,1569,False
2ea8c4a7,nbCF,1070,False
2ee998fb,nbCF,5470,False
2f46c44a,nbCF,1082,False
2f78bffd,nbCF,39976,False
2fbf5cb4,nbCF,149107,False
3096bf2b,,6218,False
30d6a972,nbCF,72909,False
3224850d,nbCF,27978,False
32ed72fc,*,91012,False
332967c8,nbCF,12619,False
3349a9b0,nbCF,21197,False
348d3eb3,nbCF,13166,False
35d85395,nbCF,4505,False
360ac9e8,nbCF,2716,False
36281a31,nbCF,30090,False
364d4210,nbCF,8167,False
36678005,nbCF,1674,False
36e24399,nbCF,2182,False
3736dfdb,Lua,9096,False
374912e9,nbCF,3764,False
3840fe74,nbCF,741,False
38f61348,nbCF,50090,False
393d95fa,Lua,14035,False
3a14aebb,nbCF,629,False
3a75e174,nbCF,3216,False
3a8d1648,SL,3428,False
3ac3a41a,nbCF,3420,False
3b16f64d,UEF,36786,False
3b74c035,nbCF,6658,False
3b7c9e6f,nbCF,33885,False
3c331844,nbCF,52966,False
3c9b8240,nbCF,32489,False
3ca6e0c4,nbCF,248,False
3e2763a3,Lua,1578245,False
3e848b1d,Lua,32438,False
3f4c1f31,nbCF,1468,False
3f7c9a1c,SL,3252,False
3fa731c8,nbCF,26182,False
40bf4007,nbCF,2730,False
4319a7db,nbCF,10406,False
43aa91b6,nbCF,104518,False
43ab4d7d,nbCF,1989,False
45816488,,5313732,False
466ddddb,nbCF,595,False
468a502b,?2,852,False
46ae72f3,Lua,42080,False
474d911f,nbCF,15115,False
476fe587,nbCF,16967,False
4875c2dd,nbCF,4132,False
